POMONA PASSION  FROID,LIEGEOIS,Liégeois pomme chataigne 100 g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,LIEGEOIS,Liégeois pomme abricot framboise 100 g,46259,Liegeois fruit pom abri framb (100Gx4x6),,ANDROS,NOVANDIE,UE,PLAQUE,de,24,POT(S), à  ,"10,152",€,POT,1
POMONA PASSION  FROID,LIEGEOIS,Liégeois chocolat 115 g,42953,Liegeois sav chocolat (115Gx24p),,SANS MARQUE,LAITERIE SAINT PÈRE,France,PLAQUE,de,24,POT(S), à  ,"4,56",€,POT,1
POMONA PASSION  FROID,LIEGEOIS,Liégeois vanille nappé 115 g,42954,Liegeois sav vanille (115Gx24p),,SANS MARQUE,LAITERIE SAINT PÈRE,France,PLAQUE,de,24,POT(S), à  ,"4,56",€,POT,1
POMONA PASSION  FROID,GELIFIES,Flan vanille nappé caramel 100 g,25200,Flan nappe caramel (100Gx4)x12 /48pot,,NOVLY,NOVANDIE,France,PLAQUE,de,48,POT(S), à  ,6,€,POT,1
POMONA PASSION  FROID,GELIFIES,Flan vanille nappé caramel 90 g,8416,Flan nappe (90Gx4)x12 /48pot Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,48,POT(S), à  ,"5,268",€,POT,1
POMONA PASSION  FROID,GELIFIES,Lait gélifié aromatisé chocolat  90 g,8520,Novly chocolat (90Gx4)x12 /48p Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,439",€,POT,1
POMONA PASSION  FROID,GELIFIES,Lait gélifié aromatisé vanille  90 g,8519,Novly vanille (90Gx4)x12 /48p Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,48,POT(S), à  ,"5,268",€,POT,1
POMONA PASSION  FROID,MOUSSES,"Mousse choco lait 10,2 cl",66316,Mousse choco et lait (54Gx4)x12/48p Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,44",€,POT,1
POMONA PASSION  FROID,MOUSSES,"Mousse café 10,2 cl",66315,Mousse cafe (54Gx4)x12 /48p Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,64",€,POT,1
